Constituintes Autorizados,CAS,Especificações,Função,Alegações autorizadas e requisitos para uso da alegação,Requisitos de Rotulagem Complementar e outros,Outras Informações
Sacarose,57-50-1,FCC,Fonte de carboidrato,"1) Alegação: Os carboidratos auxiliam na recuperação da função muscular normal após exercícios extenuantes. Requisitos: A alegação é restrita aos suplementos alimentares cuja:
a) quantidade de carboidratos metabolizáveis atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações; e
b) informação sobre o consumo na dose de 4 g/kg de peso corpóreo, nas primeiras 4 a 6 horas após o exercício extenuante, conste na rotulagem do produto.
 2) Alegação: Auxilia a manutenção do equilíbrio de fluidos e eletrólitos e no desempenho de exercícios físicos de resistência. Restrições: A alegação é restrita aos suplementos alimentares que:
a) forneçam carboidratos como principal fonte de energia;
b) contenham no mínimo 80 kcal/L e no máximo 350 kcal/L;
c) contenham no mínimo 75% da energia derivada de carboidratos metabolizáveis;
d) contenham no mínimo 20 mmol/L (460 mg/L) de sódio (na forma de Na+) e máximo 50 mmol/L (1150 mg/L) de sódio (na forma de Na+); e
e) apresentem osmolalidade entre 200 e 330 mOsml/kg de água. 
3) Alegação: Isotônico: Requisitos: A alegação é restrita aos suplementos alimentares que:
a) forneçam carboidratos como principal fonte de energia;
b) contenham no mínimo 80 kcal/L e no máximo 350 kcal/L;
c) contenham no mínimo 75% da energia derivada de carboidratos metabolizáveis;
d) contenham no mínimo 20 mmol/L (460 mg/L) de sódio (na forma de Na+) e máximo 50 mmol/L (1150 mg/L) de sódio (na forma de Na+); e    e) apresentem osmolalidade entre 270 e 330 mOsml/kg de água.",Não há requisitos adicionais,
Sais de magnésio do ácido cítrico,3344-18-1,European pharmacopoeia 9.0,Fonte de Magnésio,"1) Alegação:O magnésio auxilia na formação de ossos e dentes. Requisitos:  As alegações são restritas aos suplementos alimentares cuja quantidade de magnésio atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
2) Alegação: O magnésio auxilia no metabolismo energético. Requisitos:  As alegações são restritas aos suplementos alimentares cuja quantidade de magnésio atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações
3) Alegação: O magnésio auxilia no metabolismo de proteínas, carboidratos e gorduras. Requisitos:  As alegações são restritas aos suplementos alimentares cuja quantidade de magnésio atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
4) Alegação: O magnésio auxilia no equilíbrio dos eletrólitos. Requisitos:  As alegações são restritas aos suplementos alimentares cuja quantidade de magnésio atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
5) Alegação:  O magnésio auxilia no funcionamento muscular. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de magnésio atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
6) Alegação: O magnésio auxilia no funcionamento neuromuscular. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de magnésio atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
7) Alegação: O magnésio auxilia no processo de divisão celular. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de magnésio atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
8) Alegação: Fonte de magnésio. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de magnésio atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
9) Alegação: Alto conteúdo/Rico em/Alto teor de magnésio. Requisitos: A alegação é restrita aos suplementos alimentares cuja quantidade de magnésio corresponda ao dobro dos valores mínimos estabelecidos na IN 28/2018 e suas atualizações, desde que não ultrapasse o limite máximo estabelecido na IN 28/2018 e suas atualizações.",Não há requisitos adicionais,
Selenato de sódio,13410-01-0,FCC,Fonte de Selênio,"1) Alegação: O selênio é um antioxidante que auxilia na proteção dos danos causados pelos radicais livres. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de selênio atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações
2) Alegação: O selênio auxilia no funcionamento do sistema imune. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de selênio atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
3) Alegação: Fonte de selênio. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de selênio atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
4) Alegação: Alto conteúdo/Rico em/Alto teor de selênio. Requisitos: A alegação é restrita aos suplementos alimentares cuja quantidade de selênio corresponda ao dobro dos valores mínimos estabelecidos na IN 28/2018 e suas atualizações., desde que não ultrapasse o limite máximo estabelecido na IN 28/2018 e suas atualizações.",Não há requisitos adicionais,
Selenito de sódio,10102-18-8,European pharmacopoeia 9.0,Fonte de Selênio,"1) Alegação: O selênio é um antioxidante que auxilia na proteção dos danos causados pelos radicais livres. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de selênio atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações
2) Alegação: O selênio auxilia no funcionamento do sistema imune. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de selênio atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
3) Alegação: Fonte de selênio. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de selênio atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
4) Alegação: Alto conteúdo/Rico em/Alto teor de selênio. Requisitos: A alegação é restrita aos suplementos alimentares cuja quantidade de selênio corresponda ao dobro dos valores mínimos estabelecidos na IN 28/2018 e suas atualizações., desde que não ultrapasse o limite máximo estabelecido na IN 28/2018 e suas atualizações.",Não há requisitos adicionais,
Semente de chia (Salvia hispanicaL.),,Para este constituinte foram aprovadas as especificações do fabricante: The Chia Company - Austrália.,Fonte de fibras alimentares,"1) Alegação: As fibras alimentares auxiliam no funcionamento do intestino.
Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de fibras alimentares atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
2) Alegação: Fonte de fibras. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de fibras alimentares atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.",Não há requisitos adicionais,
Semente de chia moída desengordurada (Salvia hispanicaL.),,"Para este constituinte foram aprovadas as especificações do fabricante: Trio S.A. - Santiago, Chile.",Fonte de fibras alimentares,"1) Alegação: As fibras alimentares auxiliam no funcionamento do intestino.
Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de fibras alimentares atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
2) Alegação: Fonte de fibras. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de fibras alimentares atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.",Não há requisitos adicionais,
Soro do leite,,FCC,Fonte de proteínas,"1) Alegação: Fonte de proteínas. Requisitos: A alegação é restrita aos suplementos alimentares cuja: a) quantidade de proteína atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações; e b) quantidade de aminoácidos essenciais por grama de proteína do produto atenda aos valores mínimos estabelecidos para a proteína de referência, conforme IN 28/2018 e suas atualizações.
2) Alegação: As proteínas auxiliam na formação dos músculos e ossos. Requisitos: A alegação é restrita aos suplementos alimentares cuja: a) quantidade de proteína atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações; e b) quantidade de aminoácidos essenciais por grama de proteína do produto atenda aos valores mínimos estabelecidos para a proteína de referência, conforme IN 28/2018 e suas atualizações.
3) Alegação: Alto conteúdo/Rico em/Alto teor de proteínas. Requisitos: A alegação é restrita aos suplementos alimentares cuja: a) quantidade de proteína corresponda ao dobro dos valores mínimos estabelecidos na IN 28/2018 e suas atualizações; e b) quantidade de aminoácidos essenciais por grama de proteína do produto atenda aos valores mínimos estabelecidos para a proteína de referência, conforme IN 28/2018 e suas atualizações.",Não há requisitos adicionais,
Soro do leite reduzido de lactose,,FCC,Fonte de proteínas,"1) Alegação: Fonte de proteínas. Requisitos: A alegação é restrita aos suplementos alimentares cuja: a) quantidade de proteína atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações; e b) quantidade de aminoácidos essenciais por grama de proteína do produto atenda aos valores mínimos estabelecidos para a proteína de referência, conforme IN 28/2018 e suas atualizações.
2) Alegação: As proteínas auxiliam na formação dos músculos e ossos. Requisitos: A alegação é restrita aos suplementos alimentares cuja: a) quantidade de proteína atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações; e b) quantidade de aminoácidos essenciais por grama de proteína do produto atenda aos valores mínimos estabelecidos para a proteína de referência, conforme IN 28/2018 e suas atualizações.
3) Alegação: Alto conteúdo/Rico em/Alto teor de proteínas. Requisitos: A alegação é restrita aos suplementos alimentares cuja: a) quantidade de proteína corresponda ao dobro dos valores mínimos estabelecidos na IN 28/2018 e suas atualizações; e b) quantidade de aminoácidos essenciais por grama de proteína do produto atenda aos valores mínimos estabelecidos para a proteína de referência, conforme IN 28/2018 e suas atualizações.",Não há requisitos adicionais,
Soro do leite reduzido de minerais,,FCC,Fonte de proteínas,"1) Alegação: Fonte de proteínas. Requisitos: A alegação é restrita aos suplementos alimentares cuja: a) quantidade de proteína atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações; e b) quantidade de aminoácidos essenciais por grama de proteína do produto atenda aos valores mínimos estabelecidos para a proteína de referência, conforme IN 28/2018 e suas atualizações.
2) Alegação: As proteínas auxiliam na formação dos músculos e ossos. Requisitos: A alegação é restrita aos suplementos alimentares cuja: a) quantidade de proteína atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações; e b) quantidade de aminoácidos essenciais por grama de proteína do produto atenda aos valores mínimos estabelecidos para a proteína de referência, conforme IN 28/2018 e suas atualizações.
3) Alegação: Alto conteúdo/Rico em/Alto teor de proteínas. Requisitos: A alegação é restrita aos suplementos alimentares cuja: a) quantidade de proteína corresponda ao dobro dos valores mínimos estabelecidos na IN 28/2018 e suas atualizações; e b) quantidade de aminoácidos essenciais por grama de proteína do produto atenda aos valores mínimos estabelecidos para a proteína de referência, conforme IN 28/2018 e suas atualizações.",Não há requisitos adicionais,
Streptococcus salivarius K12,,"Para este ingrediente foram aprovadas as especificações
do fabricante: Lactosan GmbH & Co. KG., Kapfenberg, Austria.",Fonte de Streptococcus salivarius K12,Alegação: O Streptococcus salivarius K12 pode reduzir o risco de infecções das vias aéreas superiores de crianças com idade superior a três anos e adultos. A alegação é restrita aos suplementos alimentares cuja quantidade mínima de Streptococcus salivarius K12 fornecida na recomendação diária de consumo do produto atenda aos valores mínimos estabelecidos no Anexo III desta Instrução Normativa.,"A advertência ""Este produto não deve ser consumido por gestantes, lactantes, lactentes, crianças de até 3 anos de idade, pessoas imunocomprometidas ou pessoas acometidas de condição de saúde debilitante grave."" deve constar na rotulagem do produto.",
